Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
NewBalance,Extra 15% Off Semi-Annual Sale @ New Balance,"New Balance offers an extra 15% off on Semi-Annual Sale via coupon code ""SALE19"".
Free shipping on orders over $50.
Deal ends 6/30.
$50.99 $79.99
New Balance 696
$67.99 $99.99
New Balance 574 Sport
$67.99 $99.99
New Balance 574 Legacy of Grey",06/18/2019,06/30/2019,2,18,9
NewBalance,Expired Extra 20% Off Recently Reduced styles @ New Balance,"New Balance offers an extra 20% off on Recently Reduced styles via coupon code ""20OFF"".
Free shipping on orders over $50.
Exclusions apply.
Deal ends 5/4 23:59.
Women
Men
Women
$47.99 $89.99
New Balance Fresh Foam Cruz v2 Nubuck
Women
$43.99 $64.99
New Balance FuelCore Coast v4 City Stealth Pack
Women
$55.99 $79.99
New Balance 574 Geo Metallic",05/04/2019,05/04/2019,18,98,58
NewBalance,Expired Up to 20% Off Semi-annual Sale Styles @ New Balance,"New Balance offers an Semi-annual Sale Styles for up to 20% off  via coupon code ""HAPPY"".
Free shipping on orders over $125.
$54.99
New Balance 574
$69.99 $79.99
New Balance 574 Essentials
$79.99
New Balance 574 Summer Shore",04/15/2019,,2,3,6
NewBalance,Expired Up to 30% Off Recently Reduced Items @ New Balance,"New Balance offers Recently Reduced Items, up to 30% off.
Free shipping on orders over $50.
Exclusions apply.
Deal ends 5/4 20:59.
Men
Women
Men
$22.99 $29.99
New Balance CNY Tee
Men
$22.99 $29.99
New Balance Essentials N Box Tee
Men
$26.99 $34.99
New Balance NB Numeric Stacked Tee",04/09/2019,05/04/2019,,10,2
NewBalance,Expired 15% off + Free Shipping Kids Style Sale @ New Balance,"New Balance offers Kids Style Sale, 15% off + free shipping via coupon code ""KIDS"".
Free shipping.
Exclusions apply.
Deal ends 3/19 23:59.
$38.24 $44.99
New Balance Hook and Loop 574
$46.74 $54.99
New Balance Hook and Loop 997H
$23.79 $27.99
New Balance Sport Sandal",03/07/2019,03/19/2019,,4,2
NewBalance,Expired 20% Off Semi-annual Sale Styles @ New Balance,"New Balance offers an extra 20% off Semi-annual Sale Styles.
Free shipping on orders over $125.
Exclusions apply.
Deal ends 1/6 20:59.
$44.99 $54.99
New Balance 574
$59.99 $79.99
New Balance 574 Floral
$59.99 $79.99
New Balance 574",01/02/2019,01/06/2019,2,21,11
NewBalance,Expired 20% off + Free Shipping Sitewide @ New Balance,"New Balance offers 20% off sitewide.via coupon code ""PRESENTS20"".
Exclusions apply.
Free shipping.
Deal ends 12/1.
$55.99 $79.99
New Balance 574 Nubuck
$63.99 $79.99
New Balance 696
$55.99 $79.99
New Balance 574 Summer Dusk",11/29/2018,12/01/2018,,42,16
NewBalance,Expired 30% Off + Free Shipping Cyber Monday Sale @ New Balance,"New Balance offers 30% off Cyber Monday Sale via coupon code ""CYBERMONDAY30"".
Free shipping.
Exclusions apply.
Deal ends 11/27.
Woemn
Men
Woemn
$48.99 $79.99
New Balance 574 Nubuck
Woemn
$55.99 $99.99
New Balance 574 Sport
Woemn
$52.49 $84.99
New Balance 574",11/28/2018,11/27/2018,7,77,40
NewBalance,Expired 25% Off + Free Shipping Black Friday Sale @ New Balance,"New Balance offers 25% off Black Friday Sale via coupon code ""BLACKFRIDAY25"".
Free shipping.
Exclusions apply.
Deal ends 11/25.
Woemn
Men
Woemn
$52.49 $79.99
New Balance 574 Nubuck
Woemn
$44.99 $89.99
New Balance Leather 697
Woemn
$56.24 $84.99
New Balance 574",11/26/2018,11/25/2018,11,172,88
NewBalance,Expired 20% off +FS Sitewide @ New Balance,"New Balance offers 20% off sitewide.via coupon code ""YAMS"".
Exclusions apply.
Free shipping.
Deal ends 11/22
$55.99 $79.99
New Balance 574 Nubuck
$63.99 $79.99
New Balance 696
$55.99 $79.99
New Balance 574 Summer Dusk",11/22/2018,11/22/2018,5,83,42
